City_EN,FID,Field_1,GbCity,GbProv,Prov_EN,N_C_01,N_C_02,N_C_03,N_C_04,N_C_05,N_C_06,N_C_07,N_C_08,N_C_09,T_C_01,T_C_02,T_C_03,T_C_04,T_C_05,T_C_06,T_C_07,T_C_08,T_C_09
Tongrendiqu,260,252,5222,52,Guizhou,3,7,0,0,0,0,0,0,0,3,10,10,10,10,10,10,10,10
Qianxinanbuyizumiaozu,261,199,5223,52,Guizhou,1,3,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4
Bijiediqu,262,26,5224,52,Guizhou,3,20,0,0,0,0,0,0,0,3,23,23,23,23,23,23,23,23
Qiandongnanmiaozudongzu,263,197,5226,52,Guizhou,2,8,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10
Qiannanbuyizumiaozu,264,198,5227,52,Guizhou,4,13,0,0,0,0,0,0,0,4,17,17,17,17,17,17,17,17
Kunming,265,139,5301,53,Yunnan,30,23,0,0,0,0,0,0,0,30,53,53,53,53,53,53,53,53
Qujing,266,206,5303,53,Yunnan,5,8,0,0,0,0,0,0,0,5,13,13,13,13,13,13,13,13
Yuxi,267,311,5304,53,Yunnan,7,7,0,0,0,0,0,0,0,7,14,14,14,14,14,14,14,14
Zhaotongdiqu,268,324,5321,53,Yunnan,6,19,0,0,0,0,0,0,0,6,25,25,25,25,25,25,25,25
Chuxiongyizu,269,44,5323,53,Yunnan,0,4,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
Honghehanizuyizu,270,100,5325,53,Yunnan,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
Wenshanzhuangzumiaozu,271,258,5326,53,Yunnan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Simaodiqu,272,232,5327,53,Yunnan,4,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4
Xishuangbannadaizu,273,270,5328,53,Yunnan,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
Dalibaizu,274,46,5329,53,Yunnan,6,7,0,0,0,0,0,0,0,6,13,13,13,13,13,13,13,13
Baoshandiqu,275,22,5330,53,Yunnan,7,2,0,0,0,0,0,0,0,7,9,9,9,9,9,9,9,9
Dehongdaizujingpozu,276,52,5331,53,Yunnan,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Lijiangdiqu,277,145,5332,53,Yunnan,6,1,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7
Nujianglisuzu,278,187,5333,53,Yunnan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diqingcangzu,279,55,5334,53,Yunnan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincangdiqu,280,153,5335,53,Yunnan,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Lasa,281,140,5401,54,Xizang,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Changdudiqu,282,31,5421,54,Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shannandiqu,283,214,5422,54,Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rikazediqu,284,208,5423,54,Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naqudiqu,285,175,5424,54,Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alidiqu,286,5,5425,54,Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linzhidiqu,287,152,5426,54,Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xian,288,268,6101,61,Shaanxi,39,81,0,0,0,0,0,0,0,39,120,120,120,120,120,120,120,120
Tongchuan,289,250,6102,61,Shaanxi,5,3,0,0,0,0,0,0,0,5,8,8,8,8,8,8,8,8
Baoji,290,20,6103,61,Shaanxi,6,7,0,0,0,0,0,0,0,6,13,13,13,13,13,13,13,13
Xianyang,291,273,6104,61,Shaanxi,8,9,0,0,0,0,0,0,0,8,17,17,17,17,17,17,17,17
Weinan,292,256,6105,61,Shaanxi,5,10,0,0,0,0,0,0,0,5,15,15,15,15,15,15,15,15
Yanan,293,291,6106,61,Shaanxi,7,1,0,0,0,0,0,0,0,7,8,8,8,8,8,8,8,8
Hanzhong,294,87,6107,61,Shaanxi,13,13,0,0,0,0,0,0,0,13,26,26,26,26,26,26,26,26
Yulin,295,308,6108,61,Shaanxi,1,2,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3
Ankang,296,6,6109,61,Shaanxi,14,12,0,0,0,0,0,0,0,14,26,26,26,26,26,26,26,26
Shangluodiqu,297,217,6125,61,Shaanxi,2,5,0,0,0,0,0,0,0,2,7,7,7,7,7,7,7,7
Lanzhou,298,142,6201,62,Gansu,20,16,1,0,0,0,0,0,0,20,36,37,37,37,37,37,37,37
Jiayuguan,299,121,6202,62,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jinchang,300,125,6203,62,Gansu,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Baiyin,301,16,6204,62,Gansu,1,3,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4
Tianshui,302,246,6205,62,Gansu,3,9,0,0,0,0,0,0,0,3,12,12,12,12,12,12,12,12
Jiuquandiqu,303,134,6221,62,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhangyediqu,304,319,6222,62,Gansu,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
Wuweidiqu,305,267,6223,62,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dingxidiqu,306,56,6224,62,Gansu,2,7,0,0,0,0,0,0,0,2,9,9,9,9,9,9,9,9
Longnandiqu,307,162,6226,62,Gansu,3,1,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4
Pingliangdiqu,308,191,6227,62,Gansu,1,8,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9
Qingyangdiqu,309,204,6228,62,Gansu,0,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
Linxiahuizu,310,155,6229,62,Gansu,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Gannancangzu,311,68,6230,62,Gansu,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
Xining,312,269,6301,63,Qinghai,9,6,0,0,0,0,0,0,0,9,15,15,15,15,15,15,15,15
Haidongdiqu,313,82,6321,63,Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haibeicangzu,314,81,6322,63,Qinghai,0,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
Huangnancangzu,315,110,6323,63,Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hainancangzu,316,84,6325,63,Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guoluocangzu,317,78,6326,63,Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yushucangzu,318,310,6327,63,Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiximengguzucangzu,319,85,6328,63,Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yinchuan,320,304,6401,64,Ningxia,15,19,2,0,0,0,0,0,0,15,34,36,36,36,36,36,36,36
Shizuishan,321,229,6402,64,Ningxia,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Wuzhong,322,264,6403,64,Ningxia,6,22,0,0,0,0,0,0,0,6,28,28,28,28,28,28,28,28
Guyuandiqu,323,71,6422,64,Ningxia,2,3,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,5
Wulumuqi,324,261,6501,65,Xinjiang,8,15,0,0,0,0,529,293,0,8,23,23,23,23,23,552,845,845
Kelamayi,325,137,6502,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulufandiqu,326,253,6521,65,Xinjiang,1,2,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3
Hamidiqu,327,80,6522,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changjihuizu,328,32,6523,65,Xinjiang,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Boertalamenggu,329,29,6527,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayinguolengmenggu,330,12,6528,65,Xinjiang,0,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
Akesudiqu,331,2,6529,65,Xinjiang,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Kezilesukeerkezi,332,138,6530,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kashendiqu,333,135,6531,65,Xinjiang,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2
Hetiandiqu,334,90,6532,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yilihasake,335,299,6540,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachengdi,336,239,6542,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aletaidi,337,4,6543,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinjiang (Direct Units),338,328,6590,65,Xinjiang,1,9,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10
