FID,Field_1,GbProv,ProvCH,ProvEN,N_H_0302,N_H_0303,N_H_0304,N_H_0305,N_H_0306,N_H_0307,N_H_0308,N_H_0309,N_H_0310,N_H_0311,N_H_0312,N_H_0313,N_H_0314,N_H_0315,N_H_0316,N_H_0317,N_H_0318,N_H_0319,N_H_0320,N_H_0321,N_H_0322,N_H_0323,N_H_0324,N_H_0325,N_H_0326,N_H_0327,N_H_0328,N_H_0329,N_H_0330,N_H_0331,N_H_0401,N_H_0402,N_H_0403,N_H_0404,N_H_0405,N_H_0406,N_H_0407,N_H_0408,N_H_0409,N_H_0410,N_H_0411,N_H_0412,N_H_0413,N_H_0414,N_H_0415,N_H_0416,N_H_0417,N_H_0418,N_H_0419,N_H_0420,N_H_0421,N_H_0422,N_H_0423,N_H_0424,N_H_0425,N_H_0426,N_H_0427,N_H_0428,N_H_0429,N_H_0430,N_H_0501,N_H_0502,N_H_0503,N_H_0504,N_H_0505,N_H_0506,N_H_0507,N_H_0508,N_H_0509,N_H_0510,N_H_0511,N_H_0512,N_H_0513,N_H_0514,N_H_0515,N_H_0516,N_H_0517,N_H_0518,N_H_0519,N_H_0520,N_H_0521,N_H_0522,N_H_0523,N_H_0524,N_H_0525,N_H_0526,N_H_0527,N_H_0528,N_H_0529,N_H_0530,N_H_0531,N_H_0601,N_H_0602,N_H_0603,N_H_0604,N_H_0605,N_H_0606,N_H_0607,N_H_0608,N_H_0609,N_H_0610,N_H_0611,N_H_0612,N_H_0613,N_H_0614,N_H_0615,N_H_0616,N_H_0617,N_H_0618,N_H_0619,N_H_0620,N_H_0621,N_H_0622,N_H_0623,N_H_0624,N_H_0625,N_H_0626,N_H_0627,N_H_0628,N_H_0629,N_H_0630,N_H_0701,N_H_0702,N_H_0703,N_H_0704,N_H_0705,N_H_0706,N_H_0707,N_H_0708,N_H_0709,N_H_0710,N_H_0711,N_H_0712,N_H_0713,N_H_0714,N_H_0715,N_H_0716,N_H_0717,N_H_0718,N_H_0719,N_H_0720,N_H_0721,N_H_0722,N_H_0723,N_H_0724,N_H_0725,N_H_0726,N_H_0727,N_H_0728,N_H_0729,N_H_0730,N_H_0731,N_H_0801,N_H_0802,N_H_0803,N_H_0804,N_H_0805,N_H_0806,N_H_0807,N_H_0808,N_H_0809,N_H_0810,N_H_0811,N_H_0812,N_H_0813,N_H_0814,N_H_0815,N_H_0816,N_H_0817,N_H_0818,N_H_0819,N_H_0820,N_H_0821,N_H_0822,N_H_0823,N_H_0824,N_H_0825,N_H_0826,N_H_0827,N_H_0828,N_H_0829,N_H_0830,N_H_0831,N_H_0901,N_H_0902,N_H_0903,N_H_0904,N_H_0905,N_H_0906,N_H_0907,N_H_0908,N_H_0909,N_H_0910,N_H_0911,N_H_0912,N_H_0913,N_H_0914,N_H_0915,N_H_0916,N_H_0917,N_H_0918,N_H_0919,N_H_0920,N_H_0921,N_H_0922,N_H_0923,N_H_0924,N_H_0925,N_H_0926,N_H_0927,N_H_0928,N_H_0929,N_H_0930,N_H_1001,N_H_1002,N_H_1003,N_H_1004,N_H_1005,N_H_1006,N_H_1007,N_H_1008,N_H_1009,N_H_1010,T_H_0301,T_H_0302,T_H_0303,T_H_0304,T_H_0305,T_H_0306,T_H_0307,T_H_0308,T_H_0309,T_H_0310,T_H_0311,T_H_0312,T_H_0313,T_H_0314,T_H_0315,T_H_0316,T_H_0317,T_H_0318,T_H_0319,T_H_0320,T_H_0321,T_H_0322,T_H_0323,T_H_0324,T_H_0325,T_H_0326,T_H_0327,T_H_0328,T_H_0329,T_H_0330,T_H_0331,T_H_0401,T_H_0402,T_H_0403,T_H_0404,T_H_0405,T_H_0406,T_H_0407,T_H_0408,T_H_0409,T_H_0410,T_H_0411,T_H_0412,T_H_0413,T_H_0414,T_H_0415,T_H_0416,T_H_0417,T_H_0418,T_H_0419,T_H_0420,T_H_0421,T_H_0422,T_H_0423,T_H_0424,T_H_0425,T_H_0426,T_H_0427,T_H_0428,T_H_0429,T_H_0430,T_H_0501,T_H_0502,T_H_0503,T_H_0504,T_H_0505,T_H_0506,T_H_0507,T_H_0508,T_H_0509,T_H_0510,T_H_0511,T_H_0512,T_H_0513,T_H_0514,T_H_0515,T_H_0516,T_H_0517,T_H_0518,T_H_0519,T_H_0520,T_H_0521,T_H_0522,T_H_0523,T_H_0524,T_H_0525,T_H_0526,T_H_0527,T_H_0528,T_H_0529,T_H_0530,T_H_0531,T_H_0601,T_H_0602,T_H_0603,T_H_0604,T_H_0605,T_H_0606,T_H_0607,T_H_0608,T_H_0609,T_H_0610,T_H_0611,T_H_0612,T_H_0613,T_H_0614,T_H_0615,T_H_0616,T_H_0617,T_H_0618,T_H_0619,T_H_0620,T_H_0621,T_H_0622,T_H_0623,T_H_0624,T_H_0625,T_H_0626,T_H_0627,T_H_0628,T_H_0629,T_H_0630,T_H_0701,T_H_0702,T_H_0703,T_H_0704,T_H_0705,T_H_0706,T_H_0707,T_H_0708,T_H_0709,T_H_0710,T_H_0711,T_H_0712,T_H_0713,T_H_0714,T_H_0715,T_H_0716,T_H_0717,T_H_0718,T_H_0719,T_H_0720,T_H_0721,T_H_0722,T_H_0723,T_H_0724,T_H_0725,T_H_0726,T_H_0727,T_H_0728,T_H_0729,T_H_0730,T_H_0731,T_H_0801,T_H_0802,T_H_0803,T_H_0804,T_H_0805,T_H_0806,T_H_0807,T_H_0808,T_H_0809,T_H_0810,T_H_0811,T_H_0812,T_H_0813,T_H_0814,T_H_0815,T_H_0816,T_H_0817,T_H_0818,T_H_0819,T_H_0820,T_H_0821,T_H_0822,T_H_0823,T_H_0824,T_H_0825,T_H_0826,T_H_0827,T_H_0828,T_H_0829,T_H_0830,T_H_0831,T_H_0901,T_H_0902,T_H_0903,T_H_0904,T_H_0905,T_H_0906,T_H_0907,T_H_0908,T_H_0909,T_H_0910,T_H_0911,T_H_0912,T_H_0913,T_H_0914,T_H_0915,T_H_0916,T_H_0917,T_H_0918,T_H_0919,T_H_0920,T_H_0921,T_H_0922,T_H_0923,T_H_0924,T_H_0925,T_H_0926,T_H_0927,T_H_0928,T_H_0929,T_H_0930,T_H_1001,T_H_1002,T_H_1003,T_H_1004,T_H_1005,T_H_1006,T_H_1007,T_H_1008,T_H_1009,T_H_1010
10,30,33,浙江省,Zhejiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,3,0,0,0,1,2,0,1,1,0,0,2,3,0,1,2,1,2,2,0,2,0,1,2,2,1,2,2,0,1,1,3,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,50,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,6,6,9,9,9,9,10,12,12,13,14,14,14,16,19,19,20,22,23,25,27,27,29,29,30,32,34,35,37,39,39,40,41,44,45,46,47,48,48,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
11,1,34,安徽省,Anhui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,3,35,福建省,Fujian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,3,1,0,3,2,2,9,0,6,3,3,0,1,2,3,0,2,1,4,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,2,0,-77,78,0,1,1,1,1,0,0,0,3,0,0,0,0,1,3,1,0,2,0,1,0,2,1,0,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,9,10,10,13,15,17,26,26,32,35,38,38,39,41,44,44,46,47,51,51,54,54,54,54,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,73,74,74,75,75,77,77,0,78,78,79,80,81,82,82,82,82,85,85,85,85,85,86,89,90,90,92,92,93,93,95,96,96,98,99,99,102,104,105,105
13,16,36,江西省,Jiangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,21,37,山东省,Shandong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,2,0,0,4,0,0,0,1,0,0,1,0,1,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,3,0,0,1,1,2,1,0,3,0,1,4,1,0,1,1,0,0,0,1,1,-55,55,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,4,4,5,5,6,7,9,9,9,13,13,13,13,14,14,14,15,15,16,16,19,20,20,20,20,21,21,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,26,26,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,31,32,32,32,32,32,33,33,34,34,34,37,37,37,38,39,41,42,42,45,45,46,50,51,51,52,53,53,53,53,54,55,0,55,56,56,57,57,57,57,57,57,58,59,60,60,60,60,60,65,65,66,67,67,67,67,67,67,67,67,67,67,67,67,68
15,10,41,河南省,Henan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
16,12,42,湖北省,Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17,13,43,湖南省,Hunan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,5,44,广东省,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,45,广西省,Guangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6
20,8,46,海南省,Hainan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
