City_EN,FID,Field_1,GbCity,GbProv,Prov_EN,N_H_01,N_H_02,N_H_03,N_H_04,N_H_05,N_H_06,N_H_07,N_H_08,N_H_09,T_H_01,T_H_02,T_H_03,T_H_04,T_H_05,T_H_06,T_H_07,T_H_08,T_H_09
Kelamayi,325,137,6502,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulufandiqu,326,253,6521,65,Xinjiang,0,1,2,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3
Hamidiqu,327,80,6522,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changjihuizu,328,32,6523,65,Xinjiang,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Boertalamenggu,329,29,6527,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayinguolengmenggu,330,12,6528,65,Xinjiang,0,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
Akesudiqu,331,2,6529,65,Xinjiang,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Kezilesukeerkezi,332,138,6530,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kashendiqu,333,135,6531,65,Xinjiang,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2
Hetiandiqu,334,90,6532,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yilihasake,335,299,6540,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachengdi,336,239,6542,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aletaidi,337,4,6543,65,Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinjiang (Direct Units),338,328,6590,65,Xinjiang,0,6,3,0,0,0,0,0,0,0,6,9,9,9,9,9,9,9
