FID,Field_1,GbProv,ProvCH,ProvEN,N_C_0302,N_C_0303,N_C_0304,N_C_0305,N_C_0306,N_C_0307,N_C_0308,N_C_0309,N_C_0310,N_C_0311,N_C_0312,N_C_0313,N_C_0314,N_C_0315,N_C_0316,N_C_0317,N_C_0318,N_C_0319,N_C_0320,N_C_0321,N_C_0322,N_C_0323,N_C_0324,N_C_0325,N_C_0326,N_C_0327,N_C_0328,N_C_0329,N_C_0330,N_C_0331,N_C_0401,N_C_0402,N_C_0403,N_C_0404,N_C_0405,N_C_0406,N_C_0407,N_C_0408,N_C_0409,N_C_0410,N_C_0411,N_C_0412,N_C_0413,N_C_0414,N_C_0415,N_C_0416,N_C_0417,N_C_0418,N_C_0419,N_C_0420,N_C_0421,N_C_0422,N_C_0423,N_C_0424,N_C_0425,N_C_0426,N_C_0427,N_C_0428,N_C_0429,N_C_0430,N_C_0501,N_C_0502,N_C_0503,N_C_0504,N_C_0505,N_C_0506,N_C_0507,N_C_0508,N_C_0509,N_C_0510,N_C_0511,N_C_0512,N_C_0513,N_C_0514,N_C_0515,N_C_0516,N_C_0517,N_C_0518,N_C_0519,N_C_0520,N_C_0521,N_C_0522,N_C_0523,N_C_0524,N_C_0525,N_C_0526,N_C_0527,N_C_0528,N_C_0529,N_C_0530,N_C_0531,N_C_0601,N_C_0602,N_C_0603,N_C_0604,N_C_0605,N_C_0606,N_C_0607,N_C_0608,N_C_0609,N_C_0610,N_C_0611,N_C_0612,N_C_0613,N_C_0614,N_C_0615,N_C_0616,N_C_0617,N_C_0618,N_C_0619,N_C_0620,N_C_0621,N_C_0622,N_C_0623,N_C_0624,N_C_0625,N_C_0626,N_C_0627,N_C_0628,N_C_0629,N_C_0630,N_C_0701,N_C_0702,N_C_0703,N_C_0704,N_C_0705,N_C_0706,N_C_0707,N_C_0708,N_C_0709,N_C_0710,N_C_0711,N_C_0712,N_C_0713,N_C_0714,N_C_0715,N_C_0716,N_C_0717,N_C_0718,N_C_0719,N_C_0720,N_C_0721,N_C_0722,N_C_0723,N_C_0724,N_C_0725,N_C_0726,N_C_0727,N_C_0728,N_C_0729,N_C_0730,N_C_0731,N_C_0801,N_C_0802,N_C_0803,N_C_0804,N_C_0805,N_C_0806,N_C_0807,N_C_0808,N_C_0809,N_C_0810,N_C_0811,N_C_0812,N_C_0813,N_C_0814,N_C_0815,N_C_0816,N_C_0817,N_C_0818,N_C_0819,N_C_0820,N_C_0821,N_C_0822,N_C_0823,N_C_0824,N_C_0825,N_C_0826,N_C_0827,N_C_0828,N_C_0829,N_C_0830,N_C_0831,N_C_0901,N_C_0902,N_C_0903,N_C_0904,N_C_0905,N_C_0906,N_C_0907,N_C_0908,N_C_0909,N_C_0910,N_C_0911,N_C_0912,N_C_0913,N_C_0914,N_C_0915,N_C_0916,N_C_0917,N_C_0918,N_C_0919,N_C_0920,N_C_0921,N_C_0922,N_C_0923,N_C_0924,N_C_0925,N_C_0926,N_C_0927,N_C_0928,N_C_0929,N_C_0930,N_C_1001,N_C_1002,N_C_1003,N_C_1004,N_C_1005,N_C_1006,N_C_1007,N_C_1008,N_C_1009,N_C_1010,T_C_0301,T_C_0302,T_C_0303,T_C_0304,T_C_0305,T_C_0306,T_C_0307,T_C_0308,T_C_0309,T_C_0310,T_C_0311,T_C_0312,T_C_0313,T_C_0314,T_C_0315,T_C_0316,T_C_0317,T_C_0318,T_C_0319,T_C_0320,T_C_0321,T_C_0322,T_C_0323,T_C_0324,T_C_0325,T_C_0326,T_C_0327,T_C_0328,T_C_0329,T_C_0330,T_C_0331,T_C_0401,T_C_0402,T_C_0403,T_C_0404,T_C_0405,T_C_0406,T_C_0407,T_C_0408,T_C_0409,T_C_0410,T_C_0411,T_C_0412,T_C_0413,T_C_0414,T_C_0415,T_C_0416,T_C_0417,T_C_0418,T_C_0419,T_C_0420,T_C_0421,T_C_0422,T_C_0423,T_C_0424,T_C_0425,T_C_0426,T_C_0427,T_C_0428,T_C_0429,T_C_0430,T_C_0501,T_C_0502,T_C_0503,T_C_0504,T_C_0505,T_C_0506,T_C_0507,T_C_0508,T_C_0509,T_C_0510,T_C_0511,T_C_0512,T_C_0513,T_C_0514,T_C_0515,T_C_0516,T_C_0517,T_C_0518,T_C_0519,T_C_0520,T_C_0521,T_C_0522,T_C_0523,T_C_0524,T_C_0525,T_C_0526,T_C_0527,T_C_0528,T_C_0529,T_C_0530,T_C_0531,T_C_0601,T_C_0602,T_C_0603,T_C_0604,T_C_0605,T_C_0606,T_C_0607,T_C_0608,T_C_0609,T_C_0610,T_C_0611,T_C_0612,T_C_0613,T_C_0614,T_C_0615,T_C_0616,T_C_0617,T_C_0618,T_C_0619,T_C_0620,T_C_0621,T_C_0622,T_C_0623,T_C_0624,T_C_0625,T_C_0626,T_C_0627,T_C_0628,T_C_0629,T_C_0630,T_C_0701,T_C_0702,T_C_0703,T_C_0704,T_C_0705,T_C_0706,T_C_0707,T_C_0708,T_C_0709,T_C_0710,T_C_0711,T_C_0712,T_C_0713,T_C_0714,T_C_0715,T_C_0716,T_C_0717,T_C_0718,T_C_0719,T_C_0720,T_C_0721,T_C_0722,T_C_0723,T_C_0724,T_C_0725,T_C_0726,T_C_0727,T_C_0728,T_C_0729,T_C_0730,T_C_0731,T_C_0801,T_C_0802,T_C_0803,T_C_0804,T_C_0805,T_C_0806,T_C_0807,T_C_0808,T_C_0809,T_C_0810,T_C_0811,T_C_0812,T_C_0813,T_C_0814,T_C_0815,T_C_0816,T_C_0817,T_C_0818,T_C_0819,T_C_0820,T_C_0821,T_C_0822,T_C_0823,T_C_0824,T_C_0825,T_C_0826,T_C_0827,T_C_0828,T_C_0829,T_C_0830,T_C_0831,T_C_0901,T_C_0902,T_C_0903,T_C_0904,T_C_0905,T_C_0906,T_C_0907,T_C_0908,T_C_0909,T_C_0910,T_C_0911,T_C_0912,T_C_0913,T_C_0914,T_C_0915,T_C_0916,T_C_0917,T_C_0918,T_C_0919,T_C_0920,T_C_0921,T_C_0922,T_C_0923,T_C_0924,T_C_0925,T_C_0926,T_C_0927,T_C_0928,T_C_0929,T_C_0930,T_C_1001,T_C_1002,T_C_1003,T_C_1004,T_C_1005,T_C_1006,T_C_1007,T_C_1008,T_C_1009,T_C_1010
10,30,33,浙江省,Zhejiang,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,2,1,2,3,4,3,1,2,0,1,2,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-59,59,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,21,23,24,26,29,33,36,37,39,39,40,42,44,45,46,47,48,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,53,54,55,56,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,0,59,59,59,61,61,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64
11,1,34,安徽省,Anhui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,3,35,福建省,Fujian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,5,4,6,3,6,1,2,3,2,0,4,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,1,2,2,2,1,0,0,1,1,1,0,-90,91,0,0,1,0,2,2,0,0,2,0,1,1,0,0,0,1,4,2,0,6,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,17,22,26,32,35,41,42,44,47,49,49,53,54,54,54,55,55,55,55,55,56,56,57,57,57,58,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,62,62,62,62,62,62,62,62,62,62,63,63,63,63,64,65,65,65,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,69,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,72,72,72,72,73,74,74,74,74,74,75,76,79,79,79,79,80,82,84,86,87,87,87,88,89,90,90,0,91,91,91,92,92,94,96,96,96,98,98,99,100,100,100,100,101,105,107,107,113,113,113,115,115,115,117,117,117,118,118,119
13,16,36,江西省,Jiangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,21,37,山东省,Shandong,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,2,0,1,2,1,0,0,1,1,0,1,3,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,1,0,4,6,1,4,0,0,0,1,0,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,5,7,9,9,10,12,13,13,13,14,15,15,16,19,19,20,21,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,31,33,34,35,35,35,35,35,35,36,36,36,36,36,36,36,39,41,41,41,42,42,43,43,47,53,54,58,58,58,58,59,59,60,61,64,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
15,10,41,河南省,Henan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,4,4,4,4,5,5,5,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8
16,12,42,湖北省,Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17,13,43,湖南省,Hunan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,5,44,广东省,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,45,广西省,Guangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,0,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8
20,8,46,海南省,Hainan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
