OBJECTID,SubSymbol,Period,Years_before,Period_c,Main_Rock_Type,Photo_Ref_no,Main_Rock_Type_c,Years_before_c,Photo1,Photo2,Photo3,Photo1_link,Photo2_link,Photo3_link
123,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
124,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
125,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
126,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
127,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
128,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
129,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
130,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
131,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
132,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
133,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
134,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
136,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
137,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
138,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
146,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
147,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
148,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
149,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
150,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
151,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
152,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
153,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
154,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
155,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
156,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
157,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
158,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
159,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
160,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
163,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
168,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
172,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
178,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
179,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
181,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
182,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
183,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
184,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
185,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
186,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
187,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
188,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
189,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
190,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
194,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
195,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
196,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
197,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
198,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
199,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
200,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
201,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
203,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
204,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
205,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
206,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
207,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
208,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
209,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
210,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
211,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
212,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
213,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
