As of date,As of time,Quarantine centres,Address,Capacity (unit),Current unit in use,Current person in use,Ready to be used (unit)
02/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,88,123,
02/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,69,155,
03/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,97,133,
03/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,330,678,
03/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,0,0,
04/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,102,137,
04/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,324,672,
04/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,31,44,
05/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,91,125,
05/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,489,1048,
05/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,54,76,
06/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,96,128,
06/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,488,1045,
06/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,54,76,
07/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,78,110,
07/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,488,1045,
07/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,54,76,
08/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,83,121,
08/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,486,1042,
08/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,54,76,
09/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,78,109,57
09/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,485,1042,1016
09/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,54,76,80
10/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,67,77,51
10/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,485,1041,1016
10/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,57,83,68
11/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,64,71,51
11/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,472,1009,1005
11/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,57,87,66
12/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,56,63,50
12/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,474,1011,1004
12/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,58,87,64
13/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,52,59,54
13/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,474,1016,1007
13/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,58,87,64
14/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,34,36,53
14/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,473,1013,1045
14/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,56,81,64
15/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,29,31,67
15/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,481,1025,1034
15/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,72,101,47
16/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,29,31,81
16/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,371,768,976
16/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,78,105,43
17/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,24,25,99
17/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,390,847,866
17/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,67,92,30
18/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,19,20,86
18/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,300,629,855
18/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,32,45,23
19/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,16,17,108
19/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,300,639,925
19/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,31,43,56
20/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,12,13,125
20/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,295,625,930
20/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,33,45,58
21/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,5,5,137
21/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,451,976,903
21/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,31,42,76
22/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,2,2,145
22/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,653,1392,852
22/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,34,45,87
23/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,2,2,145
23/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,652,1391,847
23/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,38,52,80
24/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,2,2,156
24/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,796,1746,662
24/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,40,55,81
25/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,2,2,156
25/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,831,1816,638
25/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,54,69,65
26/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,1,1,169
26/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,827,1794,664
26/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,54,69,67
27/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,162
27/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,824,1791,665
27/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,150,241,194
28/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,160
28/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,891,1939,577
28/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,145,234,177
29/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,160
29/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,827,1819,613
