District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Yau Tsim Mong,"177-181 Portland Street, Kai Kee Restaurant (non-residential)",11/7/2020,1534,1
Kowloon City,90-93 Ma Tau Chung Road Dragon Place Restaurant (non-residential),11/7/2020,1736,1
Sha Tin,"Block 5, Carado Garden (non-residential)",11/7/2020,1497,1
Sha Tin,Carado Garden Shopping Arcade (non-residential),11/7/2020,1497,1
Tuen Mun,Chelsea Heights Victoria Harbour Restaurant  (non-residential),11/7/2020,1931,1
Kwun Tong,Chevalier Commercial Centre (non-residential),11/7/2020,2071,1
Tuen Mun,Chi Lok Fa Yuen (non-residential),11/7/2020,2167,1
Kowloon City,Ching Long Shopping Centre Zone A (non-residential),11/7/2020,1457,1
Wong Tai Sin,Chuk Yuen South Estate (non-residential),11/7/2020,1603,1
Sha Tin,"City One Shatin, Super Super Congee & Noodle (non-residential)",11/7/2020,1635,1
Sham Shui Po,Dragon Centre Kreya Ayer Restaurant (non-residential),11/7/2020,1573,1
Kwun Tong,Fook Cheong Building Glory Cafe (non-residential),11/7/2020,1738,1
Wong Tai Sin,Fu Keung Court Fu Hong House (non-residential),11/7/2020,1893,1
Sham Shui Po,"Hing Lung Building, 202-210 Castle Peak Road (non-residential)",11/7/2020,1680,1
Sha Tin,"Hok Sam House, Lung Hang Estate (non-residential)",11/7/2020,1666,1
Yau Tsim Mong,Honland Building (non-residential),11/7/2020,1733,1
Wong Tai Sin,Kwong Fat Building (non-residential),11/7/2020,1639,1
Kwai Tsing,Lai King Disciplined Services Quarters (non-residential),11/7/2020,"1770, 1838, 1841, 1842, 1862, 1912, 1920, 1923, 1933, 1954",10
Kwun Tong,Lam Tin Complex (non-residential),11/7/2020,1738,1
Yuen Long,Long Ping Estate Wah Ping House (non-residential),11/7/2020,1774,1
Kwai Tsing,Mai Shun Industrial Building (non-residential),11/7/2020,1584,1
Kwun Tong,Manulife Financial Centre (non-residential),11/7/2020,1867,1
Kwai Tsing,Metroplaza Chiuchow Garden (non-residential),11/7/2020,"1770, 1838, 1841, 1842, 1862, 1912, 1920, 1923, 1933, 1954",10
Yau Tsim Mong,Nathan Hill (non-residential),11/7/2020,1750,1
Wong Tai Sin,Nga Chi Wan Municipal Services Building (non-residential),11/7/2020,"1371, 1388, 1389, 1394, 1467, 1468, 1710",7
Kwun Tong,One Pacific Centre Victoria Harbour Restaurant (non-residential),11/7/2020,1586,1
Kwun Tong,Ping Shek Estate Fortune Harbour Restaurant (non-residential),11/7/2020,1710,1
Kwun Tong,Ping Shek Estate Fortune Harbour Restaurant (non-residential),11/7/2020,"1414, 1710",2
Sai Kung,Po Lam Market Po Lam Estate (non-residential),11/7/2020,1501,1
Wong Tai Sin,Rhythm Garden Fairwood (non-residential),11/7/2020,1612,1
Yau Tsim Mong,Rosewood Hong Kong The Legacy House (non-residential),11/7/2020,1629,1
Kwun Tong,Sceneway Garden (non-residential),11/7/2020,1738,1
Kwun Tong,Sceneway Plaza Café de Coral (non-residential),11/7/2020,1738,1
North,Shenzhen Bay Control Point (non-residential),11/7/2020,"1445, 2142",2
Kwun Tong,Shui Wo Street Municipal Services Building (non-residential),11/7/2020,1512,1
Wan Chai,South Pacific Hotel (non-residential),11/7/2020,1520,1
Wan Chai,St. James' Church (non-residential),11/7/2020,1584,1
Kowloon City,St. Teresa's Hospital (non-residential),11/7/2020,1513,1
Kwun Tong,Telford House (non-residential),11/7/2020,1710,1
Yau Tsim Mong,The Marco Polo Gateway (non-residential),11/7/2020,2124,1
Tuen Mun,Tsoi Yuen Tsuen (non-residential),11/7/2020,1772,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Fairwood (non-residential),11/7/2020,1491,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Hoi Tin Tong (non-residential),11/7/2020,1520,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Samuel Kitchen (non-residential),11/7/2020,"1520, 2120",2
Wong Tai Sin,Tsz Wan Shan Shopping Centre Samuel’s Kitchen (non-residential),11/7/2020,1520,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Yoshinoya (non-residential),11/7/2020,1603,1
Wong Tai Sin,"Tsz Wan Shan Shopping Centre, Green River Restaurant (non-residential)",11/7/2020,"1430, 1440, 1444, 1445, 1484, 1519, 1531, 1532, 1555, 1586, 1605, 1611, 1744, 1756, 1841",15
Tuen Mun,Tuen Mun Central Square Fulum Restaurant (non-residential),11/7/2020,"1739, 1740, 1743, 1783, 1951, 1952",6
Tuen Mun,Venice Gardens Kung Fu Dim Sum (non-residential),11/7/2020,1546,1
Wan Chai,World Trade Centre TeaWood (non-residential),11/7/2020,1974,1
Central & Western,World Wide House (non-residential),11/7/2020,1904,1
Yau Tsim Mong,Wu Sang House Superior Manya Japanese Restaurant (non-residential),11/7/2020,1746,1
Yuen Long,Yuen Long Plaza (non-residential),11/7/2020,1540,1
Kwun Tong,Yung Fung Shee Memorial Centre (non-residential),11/7/2020,1596,1
Wong Tai Sin,1 Fu Chi Path (non-residential),12/7/2020,1831,1
Central & Western,118 Connaught Road West (non-residential),12/7/2020,1440,1
Central & Western,123 Belcher's Street (non-residential),12/7/2020,1664,1
Tuen Mun,19 miles Castle Peak Road Dragon Inn Seafood Restaurant (non-residential),12/7/2020,2335,1
Sai Kung,27 Hoi Pong Street Fu Ah Seafood Restaurant (non-residential),12/7/2020,"2147, 2427",2
Wong Tai Sin,42 Yuk Wah Street (non-residential),12/7/2020,"1445, 1841",2
Yau Tsim Mong,498-500 Nathan Road Red Tea Café (non-residential),12/7/2020,1751,1
Yau Tsim Mong,8 Shamchun Street 新贊記點心皇 (non-residential),12/7/2020,1808,1
Kwun Tong,Billion Centre (non-residential),12/7/2020,1639,1
Tuen Mun,Block 11 Lung Mun Oasis (non-residential),12/7/2020,1663,1
Sham Shui Po,Block 13 Pak Tin Estate (non-residential),12/7/2020,1931,1
Sham Shui Po,Block 19 Shek Kip Mei Estate (non-residential),12/7/2020,2204,1
Sha Tin,"Block 7, CityOne Shatin (non-residential)",12/7/2020,1506,1
Kwun Tong,Choi Tak Shopping Centre 龍順軒海鮮酒家 (non-residential),12/7/2020,1578,1
Wong Tai Sin,Choi Wan Commercial Complex (non-residential),12/7/2020,"1361, 1401",2
Tsuen Wan,Citywalk (non-residential),12/7/2020,1654,1
Sha Tin,Fok On Garden (non-residential),12/7/2020,1635,1
Sham Shui Po,Golden Centre 潮福蒸氣火鍋 (non-residential),12/7/2020,"1435, 1931, 1980",3
SHAM SHUI PO,Golden Computer Centre Chiu Fook Steam Stone Pot (non-residential),12/7/2020,1931,1
Wong Tai Sin,Good Hope School (non-residential),12/7/2020,"1375, 1429, 1437, 1592",4
Sham Shui Po,"Heya Delight Shopping Centre, Yeah Ho Café (non-residential)",12/7/2020,1611,1
Wan Chai,Hong Kong Central Library (non-residential),12/7/2020,1974,1
Wong Tai Sin,Hsin Kuang Centre Fulum Palace (non-residential),12/7/2020,1598,1
Kwun Tong,Kai Tin Shopping Centre (non-residential),12/7/2020,1439,1
Kwun Tong,Kai Tin Shopping Centre ItaMoMo Café (non-residential),12/7/2020,1738,1
Kwun Tong,"Kai Tin Tower, TamJai SamGor (non-residential)",12/7/2020,1439,1
Kwun Tong,Kwun Tong Plaza Dragon Place Restaurant (non-residential),12/7/2020,1765,1
Kwun Tong,Lam Tin South Sports Centre (non-residential),12/7/2020,1738,1
Yau Tsim Mong,Langham Place (non-residential),12/7/2020,"1297, 1641",2
Eastern,"L'hotel Causeway Bay Harbour View, Ah Yung Kitchen (non-residential)",12/7/2020,1520,1
Wong Tai Sin,Lionsrise V Cuisine (non-residential),12/7/2020,1607,1
Sha Tin,Lung Hang Shopping Centre (non-residential),12/7/2020,1536,1
Wong Tai Sin,Manning Theatre Building (non-residential),12/7/2020,"1507, 1508",2
Wong Tai Sin,Manning Theatre Building Ka Fung Restaurant (non-residential),12/7/2020,1532,1
Sai Kung,Maritime Bay Shopping Centre (non-residential),12/7/2020,1695,1
Wong Tai Sin,Market in Choi Wan (I) Estate  (non-residential),12/7/2020,1401,1
Sha Tin,Mei Lam Shopping Centre (non-residential),12/7/2020,1584,1
Wong Tai Sin,Mikiki (non-residential),12/7/2020,1914,1
Wong Tai Sin,Mikiki Heartful Veggie (non-residential),12/7/2020,1639,1
Kwun Tong,MTR station Lam Tin (non-residential),12/7/2020,1439,1
Wong Tai Sin,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane (non-residential)",12/7/2020,"1310, 1311, 1312, 1321, 1408, 1410, 1591, 1659",8
Sham Shui Po,Pak Tin Estate Block 13 (non-residential),12/7/2020,1931,1
Sai Kung,Papillions Square Victoria Harbour Restaurant (non-residential),12/7/2020,1698,1
Central & Western,Peak Galleria (non-residential),12/7/2020,1869,1
Tuen Mun,Po Tin Shopping Centre (non-residential),12/7/2020,1546,1
Sai Kung,PopWalk (non-residential),12/7/2020,1593,1
Wan Chai,Royal Hong Kong Yacht Club (non-residential),12/7/2020,1909,1
Sai Kung,Sai Kung Building (non-residential),12/7/2020,2013,1
Central & Western,Sai Ying Pun Market (non-residential),12/7/2020,2414,1
Kwun Tong,Selwyn Factory Building (non-residential),12/7/2020,1615,1
Yau Tsim Mong,Sharon Lutheran School (non-residential),12/7/2020,1808,1
Sha Tin,Shatin Centre (non-residential),12/7/2020,1434,1
Sha Tin,Sun Chui Shopping Centre (non-residential),12/7/2020,1536,1
Kowloon City,Sun Shing Centre (non-residential),12/7/2020,1594,1
Wong Tai Sin,Tai Shing Street Market (non-residential),12/7/2020,1439,1
Tsuen Wan,The Bay Bridge (non-residential),12/7/2020,1654,1
Central & Western,The Peak Tower (non-residential),12/7/2020,1517,1
Yuen Long,Tin Shing Shopping Centre (non-residential),12/7/2020,1540,1
Yau Tsim Mong,True Light Girls' College (non-residential),12/7/2020,1733,1
Tsuen Wan,Tsuen Wan Plaza Outback Steakhouse (non-residential),12/7/2020,1896,1
Tsuen Wan,Tsuen Wan Plaza Outback Steakhouse (non-residential),12/7/2020,2250,1
Kwun Tong,Tsui Ping Commercial Complex (non-residential),12/7/2020,1512,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Fragrant Leaf Bay (non-residential),12/7/2020,1902,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Katoya (non-residential),12/7/2020,1603,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Sing-Thai House (non-residential),12/7/2020,1902,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Soup Plus (non-residential),12/7/2020,1603,1
Tuen Mun,"Waldorf Shopping Arcade, West Noodle (non-residential)",12/7/2020,1772,1
North,Wing Fai Centre Shopping Arcade (non-residential),12/7/2020,2167,1
Yau Tsim Mong,Wing On Kowloon Centre (non-residential),12/7/2020,1751,1
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),12/7/2020,1652,1
Yuen Long,Yuen Long Plaza (non-residential),12/7/2020,"1540, 1712",2
Sham Shui Po,"104 Fuk Wa Street, 圓方餃子粥麵 (non-residential)",13/7/2020,1434,1
Sham Shui Po,192 Tai Nan Street 漢發麵家 (non-residential),13/7/2020,1747,1
Wong Tai Sin,33 Tseuk Luk Street (non-residential),13/7/2020,1862,1
Yau Tsim Mong,38 Gascoigne Road Lands Tribunal (non-residential),13/7/2020,1672,1
Sham Shui Po,53-55 Berwick Street (non-residential),13/7/2020,1581,1
Central & Western,Admiralty Centre (non-residential),13/7/2020,1979,1
Kwun Tong,APM (non-residential),13/7/2020,1752,1
Kwun Tong,Block 21 Richland Gardens (non-residential),13/7/2020,1690,1
Sham Shui Po,Block B West Kowloon Law Courts Building (non-residential),13/7/2020,1672,1
